Index,Date,Temperature F,Precipitation,Wind Speed (mph),Dew Point F,Sea Level Pressure (mBARs)
131,11/5/07,92.3,0,18.41,71.3,1001.9
132,12/5/07,90.3,0,23.25,73.2,1001.8
133,13/5/07,90.1,0,20.94,74.5,1002.4
134,14/5/07,89.7,0,20.14,73.9,1001.6
135,15/5/07,89.3,0,28.65,74,1001
136,16/5/07,88,0,26.01,75.2,1002.1
137,17/5/07,89.4,0,22.21,75.5,1002.7
138,18/5/07,89.3,0,25.89,75.1,1002.5
139,19/5/07,87.4,0,21.06,76,1003.7
140,20/5/07,89.6,0,22.67,75.7,1003.2
141,21/5/07,90.3,0,22.44,71.4,1001.1
142,22/5/07,92.3,0,17.49,70.1,1001.1
143,23/5/07,94.4,0,18.41,64.8,1003.1
144,24/5/07,93.5,0,14.61,65.7,1002.3
145,25/5/07,95.3,0,16.69,52.5,1000.9
146,26/5/07,89.2,0,10.01,62.6,1002.9
147,27/5/07,90.5,0,15.54,71.1,1004.6
148,28/5/07,89.3,0,18.07,72.9,1004.9
149,29/5/07,89,0,16.46,72.5,1005.5
150,30/5/07,90.6,0,14.61,73.6,1005.7
151,31/5/07,92.2,0,15.31,67.3,1005.2
152,1/6/07,92,0,20.71,70.9,1003.2
153,2/6/07,91.9,0,21.86,75.7,1001.9
154,3/6/07,92.6,0,20.02,71.1,1002.2
155,4/6/07,90.8,0,16.69,72.7,1005.2
156,5/6/07,90.4,0,16.69,73.8,1004.9
157,6/6/07,89.9,0,18.41,73.6,1004.1
158,7/6/07,91.1,0.049285714285714,24.17,75,1003.1
159,8/6/07,92.9,0,24.4,75.3,1001.3
160,9/6/07,95,0,28.31,75.4,998.8
161,10/6/07,92.4,0,31.53,75.2,995.7
162,11/6/07,91.3,0.049285714285714,31.19,76.6,993.5
163,12/6/07,90.5,0,32.11,77.7,994.1
164,13/6/07,91,0,27.85,77.1,996.4
165,14/6/07,90.5,0,30.5,76.2,995.5
166,15/6/07,90.7,0,27.27,76.5,994.3
167,16/6/07,92.3,0,16.34,75.6,995.1
168,17/6/07,94.7,0,15.77,76,994.5
169,18/6/07,92.5,0,12.66,77.3,996.7
170,19/6/07,92.6,0,14.04,77.4,997
171,20/6/07,94.6,0,13.81,76.5,997
172,21/6/07,92.4,0,10.01,76.6,997.8
173,22/6/07,97.8,0.03,14.96,71.8,996.2
174,23/6/07,93.9,0,17.26,75.4,995.3
175,24/6/07,94.1,0.16,21.29,75.4,994.8
176,25/6/07,83.5,0,23.02,78.1,995.1
177,26/6/07,83.8,0.8,21.52,79.7,996.7
178,27/6/07,84.7,0.25,18.76,79.7,998.1
179,28/6/07,88.7,0,18.07,78.5,996.2
180,29/6/07,87.8,0.12,12.66,80.6,996.1
181,30/6/07,86.3,0.02,8.86,79.2,997
182,1/7/07,93.6,0,11.51,78.8,993.6
183,2/7/07,92.4,0,13.58,79.7,992.3
184,3/7/07,87.9,0.28,17.26,82.1,994.6
185,4/7/07,89.1,0,18.41,80.3,995.5
186,5/7/07,89.9,0,25.89,77.8,994.6
187,6/7/07,90.2,0,27.27,77.8,994.4
188,7/7/07,90.4,0,29,78.6,994.6
189,8/7/07,89.6,0,21.29,78.7,995.1
190,9/7/07,91.9,0,9.55,78.8,997.3
191,10/7/07,90.7,0,19.22,78.2,995.9
192,11/7/07,90.5,0.009655172413793,17.38,79.3,997.7
193,12/7/07,89.5,0,22.67,78.5,996.7
194,13/7/07,88.7,0,22.67,78.3,995.1
195,14/7/07,89.9,0,18.76,77.5,994.2
196,15/7/07,89.6,0,21.29,79.7,995.1
197,16/7/07,89.9,0,14.96,78.8,997.6
198,17/7/07,89.9,0,14.15,76.4,998.8
199,18/7/07,90.2,0,18.07,75.4,1000
200,19/7/07,89.8,0,16.92,75.1,1000.6
201,20/7/07,88.9,0,25.09,76.3,999.2
202,21/7/07,89.1,0,23.36,76.2,996.9
203,22/7/07,87.5,0,19.33,76.7,998.7
204,23/7/07,90.2,0.009655172413793,15.77,75.7,1000.5
205,24/7/07,92.1,0,13.58,76.3,1001.3
206,25/7/07,92.1,0,17.61,75.8,1000.9
207,26/7/07,91.4,0,22.67,76.5,999.2
208,27/7/07,89.7,0,29.92,79,997.1
209,28/7/07,91.3,0,23.36,78.2,997.4
210,29/7/07,90.2,0,19.56,78,999.2
211,30/7/07,91.1,0,18.18,77.4,1001.4
212,31/7/07,90.9,0,18.07,78.2,1001
213,1/8/07,90.5,0,27.04,76.8,999.1
214,2/8/07,91.4,0.106,22.9,77.2,997.1
215,3/8/07,92.3,0,22.09,77.7,997.8
216,4/8/07,91.3,0,16.46,78.2,996.8
217,5/8/07,92.3,0,20.94,77.1,996.2
218,6/8/07,90.4,0,17.26,74.7,996.6
219,7/8/07,89,0.17,10.36,78.2,997.7
220,8/8/07,87,0,12.89,77.8,994.6
221,9/8/07,85.6,0.67,9.44,81,992.9
222,10/8/07,85.2,0.59,14.96,80.2,995.2
223,11/8/07,85.6,0.05,11.51,79,997.7
224,12/8/07,85.2,0,22.67,76.9,995.9
225,13/8/07,86.1,0,30.38,76.6,995.3
226,14/8/07,85.8,0,29,75.7,997.9
227,15/8/07,86.6,0,25.55,74.3,998.9
228,16/8/07,85.7,0,28.42,73.6,999.5
229,17/8/07,85.1,0,31.07,72.9,1000.3
230,18/8/07,85.7,0,27.62,71.6,1000.5
231,19/8/07,88,0,27.16,73,1000.7
232,20/8/07,86.6,0,22.33,73.9,1003
233,21/8/07,83.2,0,13.12,76.2,1001.4
234,22/8/07,84.5,1.48,10.01,78.2,1000.7
235,23/8/07,82.7,0,11.16,76.4,1002.1
236,24/8/07,85.1,0.22,16.11,78.2,1004
237,25/8/07,86.7,0,16.46,78.2,1004.4
238,26/8/07,87.5,0,18.41,78.7,1002.3
239,27/8/07,87.3,0,18.41,76.9,1001
240,28/8/07,84.7,0,16.11,77.7,1001.8
241,29/8/07,90.4,0,16.11,77,1001.3
242,30/8/07,89.2,0,16.11,77.3,1000.1
243,31/8/07,90.1,0,14.38,77.1,999.2
244,1/9/07,89.2,0,14.96,76.9,999
245,2/9/07,90.6,0,8.63,77.3,999.5
246,3/9/07,90.7,0,11.16,76.5,999.9
247,4/9/07,90.1,0,21.06,76.8,998.6
248,5/9/07,88.1,0,24.28,75.7,995.9
249,6/9/07,86.9,0,23.02,74.9,995.3
250,7/9/07,87.5,0,17.84,74.3,997.9
251,8/9/07,87.3,0,16.11,73.4,1001.3
252,9/9/07,86.9,0,18.07,74,1003.1
253,10/9/07,87.2,0,19.45,74.8,1003.3
254,11/9/07,86.6,0,17.49,73.5,1003.3
255,12/9/07,85.7,0,21.86,72.7,1002.9
256,13/9/07,86.1,0,22.44,74,1003.6
257,14/9/07,86,0,24.17,72.7,1003.9
258,15/9/07,86.8,0,20.48,75.3,1002.3
259,16/9/07,86.6,0,18.41,73.2,1002
260,17/9/07,87.5,0,14.38,74.6,1004.2
261,18/9/07,88.1,0,15.42,73.9,1004
262,19/9/07,87.9,0,14.96,74,1002.6
263,20/9/07,88.8,0,17.38,75.1,1002.8
264,21/9/07,90.8,0,13.81,74.9,1002.4
265,22/9/07,93.2,0,8.86,71.8,1000.4
266,23/9/07,86.9,0,16.23,71.6,1002.9
267,24/9/07,88,0,17.49,68.4,1001.1
268,25/9/07,87.4,0,7.48,69.3,1002.3
269,26/9/07,90.3,0,6.33,65.8,1003.4
270,27/9/07,91.3,0,9.78,58.3,1004
271,28/9/07,86.9,0,14.5,62,1003.9
272,29/9/07,86.2,0,14.04,63.1,1006.8
273,30/9/07,84.5,0,13.12,60.7,1009.7
274,1/10/07,88,0,12.31,48.5,1007.5
275,2/10/07,87.2,0,18.07,59.8,1005.8
276,3/10/07,85.3,0,12.08,53.8,1005.7
277,4/10/07,84,0,2.3,52.3,1006.4
278,5/10/07,83.6,0,0.58,55,1007
279,6/10/07,85.4,0,7.48,50.3,1006.3
280,7/10/07,84.1,0,12.66,54.8,1005.8
281,8/10/07,80.9,0,12.66,49.4,1006.7
282,9/10/07,80.3,0,15.42,58,1007.4
283,10/10/07,82.3,0,14.38,65.5,1007.9
284,11/10/07,83.2,0,8.86,62.4,1010.3
285,12/10/07,84.8,0,5.52,56.5,1012.2
286,13/10/07,84.7,0,7.48,54.8,1011
287,14/10/07,82.7,0,5.18,55.5,1009.9
288,15/10/07,82.9,0,8.86,51.9,1011.1
289,16/10/07,82.5,0,9.78,51.7,1010.6
290,17/10/07,84.5,0,12.31,50.2,1010.9
291,18/10/07,85.8,0,8.86,46.9,1013.1
292,19/10/07,85.1,0,9.44,43,1014
293,20/10/07,83.3,0,15.19,56.3,1011
294,21/10/07,81.2,0,17.26,70.7,1008.8
295,22/10/07,81.6,0,6.9,69.1,1011.9
296,23/10/07,83.6,0,3.45,66.5,1012.2
297,24/10/07,83.3,0,0.69,61.6,1012.5
298,25/10/07,86.8,0,2.65,56.9,1012.7
299,26/10/07,86.1,0,6.9,54.7,1011.9
300,27/10/07,85,0,10.93,55.3,1011.6
301,28/10/07,83.5,0,4.03,47.2,1008.3
302,29/10/07,81.6,0,7.25,52.3,1008.8
303,30/10/07,84.2,0,15.19,48.4,1010.3
304,31/10/07,83.1,0,14.61,45.5,1011.6
305,1/11/07,81.9,0,8.86,45.6,1011.4
306,2/11/07,80.8,0,7.13,45.2,1009.5
307,3/11/07,82.5,0,8.29,52,1008.6
308,4/11/07,80.1,0,6.56,54.3,1011.8
309,5/11/07,82.4,0,7.13,51.2,1011.3
310,6/11/07,84.5,0,13,66,1008.5
311,7/11/07,82.6,0,9.21,65.4,1008.5
312,8/11/07,81,0,11.74,56.3,1009.8
313,9/11/07,80.3,0,4.6,54.2,1010
314,10/11/07,80.3,0,1.73,50.8,1010.5
315,11/11/07,81,0,6.21,49.9,1012.1
316,12/11/07,79,0,8.29,48.9,1011.7
317,13/11/07,78.5,0,8.86,59.2,1011.5
318,14/11/07,78,0,5.18,60.5,1011.4
319,15/11/07,77.1,0,6.1,55.9,1013.4
320,16/11/07,76.5,0,6.33,54.8,1015.5
321,17/11/07,78.6,0,6.9,52.9,1013.1
322,18/11/07,75.9,0,3.8,56.9,1012.6
323,19/11/07,74.9,0,6.33,53.6,1016.6
324,20/11/07,73.1,0,6.9,50.6,1017.8
325,21/11/07,77,0,4.6,53.5,1015.8
326,22/11/07,78.8,0,6.9,57,1015.7
327,23/11/07,77.6,0,6.9,50.5,1015.2
328,24/11/07,77.7,0,11.51,52.1,1014.5
329,25/11/07,76.8,0,5.75,49.8,1015.2
330,26/11/07,76.6,0,4.26,48.3,1016.1
331,27/11/07,73.5,0,3.11,49.4,1014.5
332,28/11/07,72.5,0,7.83,55.1,1011.9
333,29/11/07,72.8,0,5.75,56.1,1012
334,30/11/07,73.3,0,5.75,55,1015.5
335,1/12/07,69.5,0,15.19,55.4,1016.3
336,2/12/07,68.5,0,15.77,54.4,1017.3
337,3/12/07,68.8,0,15.54,48.4,1019.9
338,4/12/07,67.9,0,10.36,41.9,1019
339,5/12/07,68.3,0,8.4,41.6,1019.1
340,6/12/07,69,0,15.19,41.7,1019.4
341,7/12/07,66.8,0,8.29,43.2,1017.2
342,8/12/07,67.7,0,1.96,43.3,1015
343,9/12/07,68.9,0,3.22,44.7,1013
344,10/12/07,66.2,0.24,8.29,55.6,1012.3
345,11/12/07,60.9,0.08,14.96,50.3,1015.1
346,12/12/07,61.6,0,5.87,49.7,1016.2
347,13/12/07,62.8,0,1.73,46.1,1016.8
348,14/12/07,63.7,0,7.83,45.9,1018.3
349,15/12/07,62.7,0,4.6,40.6,1018.3
350,16/12/07,62.4,0,10.01,39.2,1018.9
351,17/12/07,63.6,0,12.89,36.5,1019.1
352,18/12/07,63.1,0,6.33,38,1016.6
353,19/12/07,64.4,0,7.71,35.1,1016.2
354,20/12/07,65.9,0,10.24,35.4,1016.2
355,21/12/07,66.7,0,9.44,39.7,1017.8
356,22/12/07,67.9,0,9.21,43.3,1017.7
357,23/12/07,64,0.26,6.9,61.2,1015.2
358,24/12/07,68.3,0.99,2.3,59.1,1014.6
359,25/12/07,65.5,0,3.68,47.5,1015.3
360,26/12/07,63.4,0.03,1.61,43.1,1015.7
361,27/12/07,63.2,0,4.83,37.2,1016.8
362,28/12/07,60.4,0,3.11,38.7,1015.2
363,29/12/07,58.4,0,5.29,33.6,1015.6
364,30/12/07,60.6,0,12.08,32.2,1018.1
365,31/12/07,58,0,3.91,35.8,1017.1
366,1/1/08,57.2,0,1.38,36.6,1017
367,2/1/08,60.7,0,6.67,34.6,1018.7
368,3/1/08,61.5,0,10.93,29.8,1020.1
369,4/1/08,62.7,0,6.33,30.1,1019.6
370,5/1/08,62.7,0,12.08,34.8,1018.5
371,6/1/08,63.2,0,21.17,37.9,1018.5
372,7/1/08,61.2,0,18.64,43.9,1017.5
373,8/1/08,58.3,3.19,10.01,52.5,1016.9
374,9/1/08,58.3,3.46,4.37,54,1015.9
375,10/1/08,62.2,0,5.18,45.3,1016.6
376,11/1/08,60.9,0,9.21,42.2,1019.3
377,12/1/08,58.3,0,9.21,41.1,1019.3
378,13/1/08,61.4,0,5.41,39.5,1018.7
379,14/1/08,64.6,0,6.1,38.6,1018.3
380,15/1/08,66.3,0,7.83,42.8,1017.3
381,16/1/08,65.3,0,6.33,46.9,1018.1
382,17/1/08,66,0,4.26,52.3,1015.8
383,18/1/08,60.9,0,1.15,31.5,1014.8
384,19/1/08,58.5,0,1.96,32.4,1014.4
385,20/1/08,59.6,0,5.75,28.3,1015.9
386,21/1/08,59.8,0,5.18,29.5,1015.6
387,22/1/08,58.8,0,1.73,29.8,1014.2
388,23/1/08,58.2,0,8.63,32.9,1014.8
389,24/1/08,58.4,0,10.36,28.2,1014.8
390,25/1/08,58.5,0,9.78,26.7,1014.9
391,26/1/08,57,0,9.21,30.5,1016.4
392,27/1/08,58.4,0,4.26,29,1017.1
393,28/1/08,64.7,0,0.92,38,1014.5
394,29/1/08,61.7,0,5.18,45.8,1012.1
395,30/1/08,62.5,0,2.65,37.7,1011.8
396,31/1/08,61.9,0,4.83,35.4,1014
397,1/2/08,64.2,0,5.52,33.3,1012.4
398,2/2/08,60,0,16.69,51.1,1010.2
399,3/2/08,55,0,8.86,42.5,1014.3
400,4/2/08,56.5,0,0,41.9,1014.7
401,5/2/08,57.2,0,3.45,32.5,1014.1
402,6/2/08,51.8,0,6.9,20.8,1015.6
403,7/2/08,55.4,0,1.5,22.6,1015.3
404,8/2/08,57.2,0,2.88,26.5,1017.7
405,9/2/08,56.9,0,3.8,28.6,1019
406,10/2/08,59.6,0,1.73,28.2,1016.5
407,11/2/08,61.2,0,6.33,27.4,1017.4
408,12/2/08,64.4,0,10.24,27.5,1019.4
409,13/2/08,62.9,0,2.65,30.8,1018
410,14/2/08,68,0,8.4,38,1015.8
411,15/2/08,68.2,0,10.36,45.2,1016
412,16/2/08,71.7,0,5.98,46.4,1015.6
413,17/2/08,72.6,0,3.11,53.1,1014.2
414,18/2/08,70.8,0,4.95,50.1,1013.8
415,19/2/08,75.7,0,2.65,40.7,1013.5
416,20/2/08,78.7,0,3.91,38,1013.6
417,21/2/08,66.0964285714286,0,5.69714285714286,36.9107142857143,1014.98214285714
418,22/2/08,75.3,0,6.1,50.3,1012.2
419,23/2/08,70,0,8.63,38.2,1013.4
420,24/2/08,67.4,0,5.18,30.8,1015.4
421,25/2/08,65.2,0,3.11,34.6,1015.9
422,26/2/08,72.4,0,0.58,35.4,1015.1
423,27/2/08,76.8,0,5.18,35,1015.3
424,28/2/08,78.6,0,8.06,38.9,1014.1
425,29/2/08,77,0,12.77,45.1,1011
426,1/3/08,76.7,0,11.51,59.7,1008.8
427,2/3/08,77.3,0,5.41,55.2,1009.8
428,3/3/08,79,0,6.33,55.4,1010.6
429,4/3/08,77.3,0,14.04,54.5,1009
430,5/3/08,78.5,0,12.08,60.5,1009.7
431,6/3/08,78.1,0,11.51,58.3,1011.4
432,7/3/08,81.6583333333333,0.001666666666667,9.91083333333333,51.375,1008.45833333333
433,8/3/08,79.1,0,5.29,50.4,1012.3
434,9/3/08,79.8,0,4.6,46.4,1012
435,10/3/08,80.8,0,8.86,48.5,1011.6
436,11/3/08,76.6,0,18.87,46.5,1012
437,12/3/08,79,0.04,11.97,51.6,1011.1
438,13/3/08,81.6583333333333,0.001666666666667,9.91083333333333,51.375,1008.45833333333
439,14/3/08,81.6583333333333,0.001666666666667,9.91083333333333,51.375,1008.45833333333
440,15/3/08,81.6583333333333,0.001666666666667,9.91083333333333,51.375,1008.45833333333
441,16/3/08,81.6583333333333,0.001666666666667,9.91083333333333,51.375,1008.45833333333
442,17/3/08,81.6583333333333,0.001666666666667,9.91083333333333,51.375,1008.45833333333
443,18/3/08,81.6583333333333,0.001666666666667,9.91083333333333,51.375,1008.45833333333
444,19/3/08,80.1,0,6.56,45.6,1005.7
445,20/3/08,81.7,0,4.95,46.7,1006.4
446,21/3/08,83.1,0,7.83,50.1,1005.9
447,22/3/08,79.4,0,8.17,56.6,1006.4
448,23/3/08,86.1,0,11.74,49.8,1007.5
449,24/3/08,86.2,0,3.45,44.2,1007
450,25/3/08,87.1,0,1.96,44.8,1006.7
451,26/3/08,87,0,5.98,40.3,1007.5
452,27/3/08,89.4,0,6.33,36.1,1007.2
453,28/3/08,88.9,0,13.23,36.9,1006.7
454,29/3/08,83.6,0,17.26,60.9,1007.1
455,30/3/08,83.5,0,20.37,67.9,1006.2
456,31/3/08,81.5,0,19.56,66.1,1004.4
457,1/4/08,82.3,0,18.64,67.7,1004.8
458,2/4/08,82.9,0,19.45,61.1,1006.9
459,3/4/08,79.7,0,18.99,64.6,1007.6
460,4/4/08,76,0.31,1.96,66.6,1005.9
461,5/4/08,79.6,0,8.86,65.7,1008.7
462,6/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
463,7/4/08,84.9,0,4.14,59,1012
464,8/4/08,89,0,5.52,56.7,1009.7
465,9/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
466,10/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
467,11/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
468,12/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
469,13/4/08,93.9,0,17.95,49.4,1004.3
470,14/4/08,86,0,18.41,64.5,1003.5
471,15/4/08,84.3,0,8.29,61.5,1006
472,16/4/08,86,0,10.36,38.3,1008.4
473,17/4/08,86.1,0,4.37,41.8,1008.5
474,18/4/08,88.7,0,8.86,42.4,1006.4
475,19/4/08,90,0,15.19,52.6,1006
476,20/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
477,21/4/08,87.9,0,12.08,63,1006.8
478,22/4/08,92.3,0,19.45,57.1,1006.5
479,23/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
480,24/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
481,25/4/08,94.1,0,12.43,55.3,1005.8
482,26/4/08,87.1761904761905,0.014761904761905,12.7842857142857,57.1,1006.00952380952
483,27/4/08,94.9,0,8.86,45.7,1002.3
484,28/4/08,92.8,0,17.61,60.8,1000.4
485,29/4/08,89.9,0,20.71,66.8,1001.3
486,30/4/08,89.4,0,16.34,58.5,1004.4
487,1/5/08,88.9,0,19.22,65.4,1003
488,2/5/08,93.2,0,14.38,61,1001
489,3/5/08,90.4,0,26.58,70.9,1000
490,4/5/08,90.6,0,18.99,67,1000.8
491,5/5/08,93.8,0,14.38,69,1001.6
492,6/5/08,90.6,0,17.84,69.6,1001.1
493,7/5/08,87.9,0,24.74,71.7,1002.8
494,8/5/08,87.5,0,19.22,71.9,1005.2
495,9/5/08,89.2,0,20.71,65.4,1004.6
496,10/5/08,89.3,0,23.02,66,1004.2
497,11/5/08,91.8,0,25.66,68.9,1003.2
498,12/5/08,91.9,0,26.24,71.8,1002.3
499,13/5/08,88.5,0,25.66,70.3,1003.6
500,14/5/08,90.7,0,30.38,69,1004
501,15/5/08,85.3,0,21.4,73.3,1003.7
502,16/5/08,91,0,27.16,71.7,1003.8
503,17/5/08,91.8,0,29.92,69.3,1002.7
504,18/5/08,89.3,0,34.75,72.1,998.4
505,19/5/08,88.4,0,31.3,74.4,998.8
506,20/5/08,90.7,0,34.52,73.3,1000.7
507,21/5/08,87.9,0,34.41,73,1000.1
508,22/5/08,90.1,0,32.45,73.4,999.1
509,23/5/08,90.2,0,27.62,68.9,1001.4
510,24/5/08,90.1,0,26.47,69.5,1002.2
511,25/5/08,91.5,0,27.62,65.7,1001.8
512,26/5/08,93.1,0,21.29,65.8,1003.4
513,27/5/08,92.1,0,23.59,68.4,1003.3
